Disc,tag,model,Type,AntiFoul,DeployArea,deploy.t,rel.t,deploy.days,DeplLat,DeplLong,CL,Shell,t0,t0.type,t1,lat1,lon1,s.maj1,s.min1,angle1,driftT0,driftT,driftD,driftR,inv.driftB,driftD0,lat0,lon0,s.maj0_63,s.min0_63,angle0,s.maj0_95,s.min0_95,est.dist.km,est.bearing.deg,est.rate.kmd-1
256,202141,mrPAT,1,N,3,7/9/2020 5:27,10/13/2020 23:59,97.2375,56.87605300,-161.80839800,157,2,10/14/2020 11:09,FUA,10/15/2020 19:28,56.4201,-161.7471,549,53,100,32.32861111,29.81666667,11023.03314,369.6936771,-2.966780185,11951.68312,56.5274396,-161.7571864,1614.392224,592.370876,139.1595208,2802.284727,1028.245698,38.88989716,175.36777,0.399947522
219,202142,mrPAT,1,N,1,7/5/2020 20:16,10/13/2020 23:59,100.6006944,55.84821900,-162.91894300,141,2,10/14/2020 10:41,FUA,10/14/2020 20:17,56.0118,-163.2152,609,110,97,9.611666667,10.45583333,5580.911,533.7605164,16.60481247,5130.328164,56.05601187,-163.1915874,1176.939271,228.0893561,99.16018657,2042.947739,395.9207121,28.67009193,323.8109828,0.284989006
226,202143,mrPAT,1,N,1,7/5/2020 23:59,10/13/2020 23:59,101.3944444,55.91564900,-162.91809500,151,2,10/15/2020 9:27,FUA,10/15/2020 13:52,56.2818,-162.6874,571,63,58,4.427777778,4.370555556,3688.751019,844.0004873,36.35861035,3737.046602,56.30882315,-162.6516058,901.2415651,245.4909183,68.8471181,1559.885468,424.9001941,46.73666655,20.59171744,0.460939125
230,202144,mrPAT,1,N,2,7/7/2020 10:28,10/13/2020 23:59,99.03055556,57.21193700,-163.82364600,162,2,10/14/2020 11:12,FUA,10/14/2020 18:23,56.7875,-163.1994,1982,28,98,7.188888889,4.857222222,3490.947638,718.7127701,-7.861886625,5166.746247,56.83352838,-163.2110179,3539.279771,966.7547154,91.98762164,6143.531602,1678.106431,56.08269363,138.3559015,0.566317066
277,202145,mrPAT,1,N,3,7/9/2020 16:20,10/13/2020 23:59,96.81388889,56.79248200,-161.74052900,137,2,10/14/2020 11:52,FUA,10/15/2020 5:40,56.6577,-161.5661,1695,124,72,17.80611111,16.45,7705.315326,468.4082265,-20.53547586,8340.528927,56.72793259,-161.6140606,1961.789489,1388.410889,95.53490074,3405.301784,2410.023148,10.53262432,132.9049561,0.108792493
252,202146,mrPAT,1,N,2,7/7/2020 22:25,10/13/2020 23:59,98.86944444,57.27200300,-163.74481200,144,2,10/14/2020 19:17,FUA,10/15/2020 2:38,56.6021,-164.3415,2210,1205,168,7.351944444,6.601388889,1375.79289,208.409611,5.609080471,1532.215882,56.6157941,-164.3390608,3120.397878,2265.505066,94.61343417,5400.842009,3921.177815,81.38270178,206.5367517,0.823132994
236,202147,mrPAT,1,N,2,7/7/2020 12:44,10/13/2020 23:59,99.08125,57.25525400,-163.82042100,157,2,10/14/2020 14:41,FUA,10/15/2020 9:05,56.6105,-164.2185,320,119,82,18.40416667,17.7675,8591.382284,483.5448028,14.86376509,8899.239142,56.68773899,-164.1812474,783.0948322,230.9740261,82.34370034,1355.394931,399.7740903,66.7864163,199.2650025,0.674057062
208,202492,MiniPAT,1,Y,1,7/5/2020 14:25,10/12/2020 20:00,99.37847222,55.89749400,-162.83201400,162,2,10/12/2020 23:30,REL,10/13/2020 2:55,56.0941,-163.03,459,116,84,3.427777778,1.425833333,383.8040488,269.1787601,-131.7879844,922.6849722,56.08856998,-163.0410897,5244.202633,567.1650333,101.4233784,9102.960683,984.4930413,24.90956319,328.6208096,0.250653513
269,202493,MiniPAT,1,Y,3,7/9/2020 12:36,10/12/2020 20:00,95.45416667,56.81872200,-161.70832800,136,2,10/12/2020 23:30,REL,10/13/2020 5:06,56.6476,-161.0641,505,43,106,5.605277778,2.221944445,2178.042944,980.2418548,-96.16932575,5494.527885,56.64225768,-161.1534444,1719.681027,472.0406232,86.99564014,2985.046512,819.3747524,39.12355997,119.8694602,0.409867493
225,202494,MiniPAT,1,Y,1,7/5/2020 23:11,10/12/2020 20:00,99.01319444,55.89806800,-162.91848500,146,2,10/12/2020 23:30,REL,10/13/2020 1:23,55.9781,-163.3357,2019,91,101,1.887777778,1.425833333,384.2339976,269.4803022,-131.7241842,508.7189261,55.97505897,-163.3417815,4816.741077,345.4455922,101.1935994,8336.904001,597.9035811,27.71863682,288.1653869,0.27994892
278,202495,MiniPAT,1,Y,3,7/9/2020 16:29,10/12/2020 20:00,95.31319444,56.79432300,-161.75765300,142,2,10/13/2020 0:00,REL,10/13/2020 4:28,56.6843,-161.4558,1936,233,67,4.475277778,1.721944444,347.4897507,201.8007909,-75.16969499,903.1145949,56.68637804,-161.4700954,8008.746759,1026.353755,66.50753358,13901.69526,1781.559283,21.25054695,124.2701014,0.222954934
262,202496,MiniPAT,1,Y,3,7/9/2020 8:51,10/12/2020 20:00,95.61041667,56.85281900,-161.77703000,153,2,10/12/2020 23:30,REL,10/13/2020 4:26,56.5055,-161.7586,1183,42,65,4.933611111,2.35,1041.315829,443.1131188,-128.2560728,2186.147806,56.49334059,-161.7864701,3685.995905,515.3009502,65.64631599,6379.78947,891.8923571,39.97633558,180.8305467,0.418116948
243,202497,MiniPAT,1,Y,2,7/7/2020 16:31,10/12/2020 20:00,97.35972222,57.31657100,-163.82391800,153,2,10/13/2020 1:09,TRANS,10/13/2020 4:40,56.8138,-164.1815,709,68,77,3.524166667,3.120833333,3122.152745,1000.422775,-54.78075354,3525.656598,56.83207668,-164.2288466,1349.272649,313.0978864,92.25590565,2342.08644,543.4797145,59.17157454,204.6017545,0.60776236
257,202502,MiniPAT,1,Y,3,7/9/2020 5:42,10/12/2020 20:00,95.85277778,56.87068300,-161.79989600,150,2,10/13/2020 2:10,DEPTH,10/13/2020 3:00,56.6228,-161.7455,420,79,69,0.835277778,0.472777778,66.69490285,141.0702998,-146.5143001,117.8328865,56.62191744,-161.746559,2269.675028,708.5604927,83.81277326,3928.395261,1226.389526,27.85198541,173.2722554,0.290570457
273,202503,MiniPAT,1,Y,3,7/9/2020 14:41,10/12/2020 20:00,119.3395833,56.79297400,-161.68859100,159,2,11/5/2020 22:50,DEPTH,11/6/2020 2:41,56.8463,-161.935,1512,310,108,3.866388889,2.007222222,1014.338094,505.3441931,-128.6609761,1953.857173,56.83533639,-161.9599946,4482.013268,1008.157355,107.3948418,7757.550955,1744.937283,17.17700235,286.0297775,0.143933822
