Disc,tag,model,Type,AntiFoul,DeployArea,deploy.t,rel.t,deploy.days,DeplLat,DeplLong,CL,Shell,t0,t0.type,t1,lat1,lon1,s.maj1,s.min1,angle1,driftT0,driftT,driftD,driftR,inv.driftB,driftD0,lat0,lon0,s.maj0_63,s.min0_63,angle0,s.maj0_95,s.min0_95,est.dist.km,est.bearing.deg,est.rate.kmd-1
244,202109,mrPAT,1,N,2,7/7/2020 17:25,10/13/2020 0:00,97.81527778,57.32002900,-163.81023000,166,2,10/13/2020 12:59,FUA,10/13/2020 20:38,56.8244,-164.3347,442,212,103,7.661388889,5.916111111,6633.743659,1121.301398,36.20935774,8590.726071,56.88661829,-164.2514467,1804.983253,655.6778574,47.7735323,3124.098195,1134.859289,55.06876198,209.1239578,0.562987329
275,202110,mrPAT,1,N,3,7/9/2020 15:04,10/12/2020 23:59,96.19513889,56.79966400,-161.70624100,144,2,10/13/2020 19:45,FUA,10/14/2020 6:01,56.562,-161.5977,856,43,84,10.27694444,10.60555556,9518.703694,897.5205159,-45.82390596,9223.76848,56.61967752,-161.7054573,1286.049776,215.7234077,92.98347838,2225.918593,373.3780395,20.01364034,179.8627341,0.208052513
238,202111,mrPAT,1,N,2,7/7/2020 14:37,10/13/2020 0:00,98.06527778,57.27796700,-163.82537300,177,2,10/13/2020 16:11,FUA,10/14/2020 2:26,56.7076,-164.2847,807,85,40,10.25472222,9.887222222,3472.359121,351.1966297,40.59589322,3601.423883,56.73215188,-164.2464123,978.7320234,256.7436297,47.15040248,1694.007378,444.3765939,65.82904567,202.9627943,0.671277818
258,202112,mrPAT,1,N,3,7/9/2020 6:57,10/12/2020 23:59,96.32222222,56.86850000,-161.78794000,173,2,10/13/2020 14:41,FUA,10/13/2020 15:30,56.7522,-162.019,341,85,79,0.824722222,0.611111111,222.78092,364.5505964,25.96188328,300.652978,56.75462746,-162.0168484,1252.791602,135.2265345,83.02400204,2168.354734,234.0525718,18.82703811,227.8320065,0.195458926
217,202113,mrPAT,1,N,1,7/5/2020 19:42,10/12/2020 23:59,100.9041667,55.82978000,-162.91886800,143,2,10/14/2020 17:24,FUA,10/14/2020 18:24,56.0883,-163.33,1888,108,105,1.004166667,0.355277778,21.7264049,61.15328978,-120.7687206,61.40809516,56.08801785,-163.3308476,2894.422831,1468.049972,76.61883296,5009.720243,2540.927878,38.49850438,318.4038865,0.381535329
270,202115,mrPAT,1,N,3,7/9/2020 13:29,10/12/2020 23:59,97.94097222,56.80973800,-161.70911800,160,2,10/15/2020 12:04,FUA,10/15/2020 21:37,56.764,-161.6284,1753,40,103,9.556388889,10.15555556,1433.439812,141.1483403,75.17039803,1348.868431,56.76709848,-161.6070768,2071.196918,1117.337618,85.12010013,3584.8657,1933.908489,7.816899084,127.2973717,0.079812349
263,202116,mrPAT,1,N,3,7/9/2020 9:46,10/12/2020 23:59,95.99236111,56.84111000,-161.75103400,159,2,10/13/2020 9:35,FUA,10/13/2020 15:29,56.7329,-161.8473,2112,87,76,5.910555556,5.579444444,1651.647893,296.0237187,-21.5843537,1749.664635,56.74751021,-161.8578201,2568.444699,498.7169762,78.51881001,4445.5113,863.1885101,12.2722831,212.0417584,0.127846455
254,202117,mrPAT,1,N,3,7/9/2020 4:14,10/13/2020 0:00,96.475,56.88855100,-161.82902000,141,2,10/13/2020 15:38,FUA,10/13/2020 20:36,56.7503,-161.6365,2445,123,105,4.970555556,4.761111111,4354.812976,914.6631689,26.01364649,4546.384095,56.78704009,-161.6037621,2508.689615,293.1691079,104.6365944,4354.618715,508.8870606,17.75196173,129.3883268,0.184005823
228,202118,mrPAT,1,N,2,7/7/2020 9:32,10/13/2020 0:00,98.08819444,57.19053500,-163.82278000,142,2,10/13/2020 11:39,FUA,10/13/2020 18:13,56.6819,-164.0588,1542,150,84,6.581388889,6.537222222,4878.973938,746.3374767,14.68897567,4911.937177,56.72456744,-164.038455,1978.353555,553.0403751,83.13695436,3424.170701,957.2124475,53.43777214,194.2547472,0.544793106
206,202119,mrPAT,1,N,1,7/5/2020 13:27,10/12/2020 23:59,100.6527778,55.91820700,-162.83521200,143,2,10/14/2020 5:07,FUA,10/14/2020 19:50,55.8592,-163.4893,1631,328,105,14.73222222,15.40277778,8974.576558,582.6596142,1.277419371,8583.870917,55.93627684,-163.486238,2113.482411,611.0534353,93.60944251,3658.054208,1057.622519,40.60618206,273.1058588,0.40342833
233,202120,mrPAT,1,N,2,7/7/2020 11:14,10/12/2020 23:59,98.03125,57.22858900,-163.82374800,168,2,10/13/2020 11:59,FUA,10/14/2020 6:30,56.4535,-164.6267,894,52,90,18.52944444,18.2175,9710.873403,533.0519228,3.182028813,9877.155989,56.54206594,-164.6177875,1510.672259,554.8853256,83.76713455,2614.699316,960.4057218,90.2991406,212.6208876,0.921126076
227,202121,mrPAT,1,Y,1,7/6/2020 0:07,10/13/2020 23:59,100.7326389,55.91593000,-162.91886300,156,2,10/14/2020 17:42,FUA,10/14/2020 19:28,55.9873,-163.3676,1086,156,111,1.771666667,2.974166667,3435.076578,1154.97111,35.61352134,2046.223817,56.00223906,-163.3485014,1126.042159,252.7165284,108.7787841,1948.974469,437.406413,28.41278532,289.9192524,0.282061362
247,202122,mrPAT,1,Y,2,7/7/2020 18:49,10/14/2020 0:00,98.66944444,57.31165500,-163.73794300,151,2,10/14/2020 10:53,FUA,10/14/2020 21:57,56.8163,-163.987,1168,74,95,11.06833333,12.12638889,5589.709659,460.9541811,28.4648343,5101.994527,56.8566301,-163.947001,1418.261039,264.8438537,98.40562064,2461.837457,459.719686,52.14945568,194.1059472,0.528526901
242,202123,mrPAT,1,Y,2,7/7/2020 16:10,10/13/2020 23:59,98.96666667,57.31386300,-163.82437500,143,2,10/14/2020 15:22,FUA,10/15/2020 5:44,56.8142,-163.9991,1054,664,57,14.37111111,14.41472222,5764.785795,399.9234745,7.008780502,5747.344688,56.86542568,-163.9876017,1192.044048,759.0213551,70.34013002,2063.211752,1313.728114,50.82967877,191.2553152,0.513604029
205,202124,mrPAT,1,Y,1,7/5/2020 13:12,10/13/2020 23:59,100.9597222,55.91883000,-162.82991800,147,2,10/14/2020 12:14,FUA,10/14/2020 14:23,56.2227,-163.7036,940,69,95,2.157222222,2.453333333,1814.76613,739.7144552,-0.968714021,1595.728461,56.23702921,-163.7040351,1869.693552,514.8485337,90.69186334,3236.09997,891.1093064,64.76141283,303.4783908,0.641457914
264,202125,mrPAT,1,Y,3,7/9/2020 10:00,10/14/2020 0:00,96.99513889,56.84720100,-161.75318600,138,2,10/14/2020 9:53,FUA,10/14/2020 17:48,56.679,-161.5681,1102,157,84,7.9275,7.546388889,2270.271265,300.8420714,-41.01156019,2384.925521,56.69515851,-161.5936437,1281.722277,319.1434864,83.76976343,2218.428478,552.3794129,19.50204927,150.0337181,0.20106213
